Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value
2020,Level 1,99999,All industries,Dollars (millions),H01,Total income,Financial performance,"733,258"
2020,Level 1,99999,All industries,Dollars (millions),H04,"Sales, government funding, grants and subsidies",Financial performance,"660,630"
2020,Level 1,99999,All industries,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,"54,342"
2020,Level 1,99999,All industries,Dollars (millions),H07,Non-operating income,Financial performance,"18,285"
2020,Level 1,99999,All industries,Dollars (millions),H08,Total expenditure,Financial performance,"654,872"
2020,Level 1,99999,All industries,Dollars (millions),H09,Interest and donations,Financial performance,"32,730"
2020,Level 1,99999,All industries,Dollars (millions),H10,Indirect taxes,Financial performance,"7,509"
2020,Level 1,99999,All industries,Dollars (millions),H11,Depreciation,Financial performance,"26,821"
2020,Level 1,99999,All industries,Dollars (millions),H12,Salaries and wages paid,Financial performance,"119,387"
2020,Level 1,99999,All industries,Dollars (millions),H13,Redundancy and severance,Financial performance,305
2020,Level 1,99999,All industries,Dollars (millions),H14,Salaries and wages to self employed commission agents,Financial performance,"1,756"
2020,Level 1,99999,All industries,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,"450,394"
2020,Level 1,99999,All industries,Dollars (millions),H20,Non-operating expenses,Financial performance,"16,274"
2020,Level 1,99999,All industries,Dollars (millions),H21,Opening stocks,Financial performance,"68,109"
2020,Level 1,99999,All industries,Dollars (millions),H22,Closing stocks,Financial performance,"69,123"
2020,Level 1,99999,All industries,Dollars (millions),H23,Surplus before income tax,Financial performance,"79,400"
2020,Level 1,99999,All industries,Dollars (millions),H24,Total assets,Financial position,"2,396,143"
2020,Level 1,99999,All industries,Dollars (millions),H25,Current assets,Financial position,"665,643"
2020,Level 1,99999,All industries,Dollars (millions),H26,Fixed tangible assets,Financial position,"562,646"
2020,Level 1,99999,All industries,Dollars (millions),H29,Other assets,Financial position,"1,167,854"
